Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.61.81.49,46639,192.168.108.121,53,4,478,2,181,2,297,24.354755071,0.21351426,6781.74844153266,11128.062359863
10.61.81.49,53160,192.168.108.121,53,4,478,2,181,2,297,24.354906867,0.213366231999998,6786.45344404831,11135.7827231069
10.61.81.49,52680,192.168.108.121,53,4,454,2,169,2,285,24.355179811,0.213073265000002,6345.23528796533,10700.5447163912
10.61.81.49,36449,192.168.108.121,53,2,220,1,90,1,130,31.405530567,0.049002868999999,14693.0172598673,21223.2471531417
10.61.81.49,52621,216.58.200.174,443,15,9993,8,5398,7,4595,46.024258848,4.192218304,10300.9902797276,8768.62733148355
10.61.81.49,57438,192.168.108.121,53,2,216,1,100,1,116,62.679149314,0.099279443999997,8058.06285538852,9347.35291225069
10.61.81.49,47764,192.168.108.121,53,2,404,1,89,1,315,62.69192534,0.187593147000001,3795.44781558569,13433.3265383089
10.61.81.49,52541,192.168.108.121,53,2,219,1,87,1,132,62.693532162,0.245986757000004,2829.42060982571,4292.91402870107
10.61.81.49,34393,239.255.255.250,1900,4,856,4,856,0,0,62.746128225,3.00223200200001,2280.96962374595,0
10.61.81.49,49914,192.168.108.121,53,2,196,1,90,1,106,62.81397,0.173012728000003,4161.54353684306,4901.37349894849
10.61.81.49,57227,192.168.108.121,53,2,186,1,85,1,101,62.814162362,0.201747090000005,3370.55667073058,4005.01439698575
10.61.81.49,49509,172.217.167.202,443,35,15389,15,5143,20,10246,62.882181018,17.816287554,2309.34754927452,4600.73400541838
10.61.81.49,46532,172.217.166.205,443,21,14171,9,4529,12,9642,62.987620444,0.902233508999998,40158.1183125843,85494.4969684119
10.61.81.49,38977,216.58.200.164,443,120,64819,50,8500,70,56319,63.016385335,26.088070611,2606.55534914598,17270.4224363003
10.61.81.49,55223,192.168.108.121,53,2,228,1,88,1,140,63.922973783,0.278156393999993,2530.950268215,4026.51179034205
10.61.81.49,36044,172.217.167.3,443,13,8877,6,3091,7,5786,64.201858554,0.486096117000002,50870.5976764671,95223.9657573726
10.61.81.49,48597,192.168.108.121,53,2,207,1,85,1,122,68.007419361,0.057357311999994,11855.5067573612,17016.1391105656
10.61.81.49,60716,216.58.196.206,443,34,24229,14,4602,20,19627,68.066027843,15.619653759,2357.03048019145,10052.4635451364
